,Item.itemCode,Item.itemName,Item.itemPrice,Item.itemUrl,Item.mediumImageUrls,Item.pointRate
10,emon-otodoke:10007217,【本州のみ送料無料　1ケース】長野興農　信州のピュアりんごジュース 　160g　30本入り果汁100％　ストレート果汁　長野県産りんご北海道・四国・九州へは追加送料220円かかります。ぴゅありんごジュース,4376,https://hb.afl.rakuten.co.jp/hgc/g00qk69a.8jil272c.g00qk69a.8jil303d/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Femon-otodoke%2F10005867muryop%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Femon-otodoke%2Fi%2F10007217%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/emon-otodoke/cabinet/00753504/imgrc0079841964.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/emon-otodoke/cabinet/00753504/imgrc0075277934.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/emon-otodoke/cabinet/00753504/imgrc0075277933.jpg?_ex=128x128'}]",1
11,glomarket:10060189,"Arvum Arrope Sabaシロップ、グレープマストリダクション、8.45オンス Arvum Arrope Saba Syrup, Grape Must Reduction, 8.45 Ounces",3416,https://hb.afl.rakuten.co.jp/hgc/g00thrda.8jil25c5.g00thrda.8jil37e6/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fglomarket%2F10060189%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fglomarket%2Fi%2F10060189%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/glomarket/cabinet/07178412/07984433/imgb009rjplzo0.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/glomarket/cabinet/rakuten_banner1.jpg?_ex=128x128'}]",1
12,glomarket:10166045,"Teeccinoタンポポバニラナッツチコリハーバルコーヒーオルタナティブ、グルテンフリー、10オンス Teeccino Dandelion Vanilla Nut Chicory Herbal Coffee Alternative, Gluten Free, 10 Ounce",3162,https://hb.afl.rakuten.co.jp/hgc/g00thrda.8jil25c5.g00thrda.8jil37e6/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fglomarket%2F10166045%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fglomarket%2Fi%2F10166045%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/glomarket/cabinet/07178412/08599791/imgb01h2lth5s0.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/glomarket/cabinet/rakuten_banner1.jpg?_ex=128x128'}]",1
13,glomarket:10178088,"カフェタッスルシングルサーブコーヒー、バニララテ、120カウント Cafe Tastle Single Serve Coffee, Vanilla Latte, 120 Count",12034,https://hb.afl.rakuten.co.jp/hgc/g00thrda.8jil25c5.g00thrda.8jil37e6/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fglomarket%2F10178088%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fglomarket%2Fi%2F10178088%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/glomarket/cabinet/07178412/07562835/imgb01n1z8n5a0.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/glomarket/cabinet/rakuten_banner1.jpg?_ex=128x128'}]",1
14,rakuten24:11100770,小川珈琲 ブレンド3オリジナル 粉(330g)【小川珈琲店】,1112,https://hb.afl.rakuten.co.jp/hgc/g00r136a.8jil2c0b.g00r136a.8jil3793/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frakuten24%2F4970690035797%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frakuten24%2Fi%2F11100770%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/rakuten24/cabinet/797/4970690035797.jpg?_ex=128x128'}],1
15,gooddayshop:11293353,【代引不可】クーミニョンティー　キャラメル＆アップル　2g×4包入　8セット,4172,https://hb.afl.rakuten.co.jp/hgc/g00rvnwa.8jil23f3.g00rvnwa.8jil337e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fgooddayshop%2Fab3-1511504%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fgooddayshop%2Fi%2F11293353%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/gooddayshop/cabinet/204505faccf0ab5c69/ab3-1511504.jpg?_ex=128x128'}],1
16,supplement-fan:10023906,堀江生薬よもぎ(ヨモギ・蓬)　500g(寸切)(画像と商品はパッケージが異なります)（この商品は注文後のキャンセルができません),2160,https://hb.afl.rakuten.co.jp/hgc/g00rew7a.8jil2bb1.g00rew7a.8jil32e9/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fsupplement-fan%2Fdp_4969107835754%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fsupplement-fan%2Fi%2F10023906%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/supplement-fan/cabinet/dp201906/dp201906_3/horiesyouyaku.jpg?_ex=128x128'}],1
17,relifeplaza-hhgoods:10002537,【工場直送/代引不可】【まとめ売り】コカ・コーラ 500ml缶　24本入り,3260,https://hb.afl.rakuten.co.jp/hgc/g00s04sa.8jil2d2a.g00s04sa.8jil3def/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frelifeplaza-hhgoods%2F4902102042970-ccw1%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frelifeplaza-hhgoods%2Fi%2F10002537%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/relifeplaza-hhgoods/cabinet/cocacola/4902102042970.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/relifeplaza-hhgoods/cabinet/cocacola/attention0.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/relifeplaza-hhgoods/cabinet/cocacola/attention1.jpg?_ex=128x128'}]",1
18,nf:11898155,◎●【送料無料】【代引不可】ティーブティック ハーブティー ノンカフェイン おやすめさんのビルベリー＆アイブライト7TB×12セット 51007「他の商品と同梱不可/北海道、沖縄、離島別途送料」,4602,https://hb.afl.rakuten.co.jp/hgc/g00pmo9a.8jil233f.g00pmo9a.8jil3779/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fnf%2Fab-1460534%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fnf%2Fi%2F11898155%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/nf/cabinet/385025e1d4e3258de2/ab-1460534.jpg?_ex=128x128'}],1
19,shopuk:10044600,Twinings Cranberry & Raspberry Teabags - 4 x 20's,4716,https://hb.afl.rakuten.co.jp/hgc/g00t9tta.8jil26ea.g00t9tta.8jil3ad7/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fshopuk%2Fuk-01550-ss%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fshopuk%2Fi%2F10044600%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/shopuk/cabinet/07018836/uk-01550.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/shopuk/cabinet/delivery-info-kaigai.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/shopuk/cabinet/contact-by-form.jpg?_ex=128x128'}]",1
20,newcomer:10349232,【まとめ買い5セット】 宇治茶 健康応援茶 R) KO7-100A 日本茶 内祝い ギフト 結婚内祝い 出産内祝い 新築祝い 就職祝い 結婚祝い 引き出物 香典返し お返し,56700,https://hb.afl.rakuten.co.jp/hgc/g00qqbya.8jil2148.g00qqbya.8jil3df0/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fnewcomer%2Floi10536985-5set%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fnewcomer%2Fi%2F10349232%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/newcomer/cabinet/loire/mh2019/k908/loimh-k90818234.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/newcomer/cabinet/loire/mh2019/k908/loimh-k90818234_1.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/newcomer/cabinet/loire/mh2019/k908/loimh-k90818234_2.jpg?_ex=128x128'}]",1
21,coffeebaka:10004723,【送料無料】アイスコーヒー豆 『キレの小次郎』-500g- コーヒー 珈琲豆 粉 業務用 こーひ こーひまめ 食品 レギュラーコーヒー アラビカ豆 コヒー豆 ポイント消化 内祝い ホワイトデー お礼 お返し 敬老会 ホワイトデー 男性 グルメ スーパーセール,6642,https://hb.afl.rakuten.co.jp/hgc/g00ql9ba.8jil2a26.g00ql9ba.8jil3880/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcoffeebaka%2Fcoffee-ict-ko-500g%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcoffeebaka%2Fi%2F10004723%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/coffeebaka/cabinet/2019/imgrc0081271163.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/coffeebaka/cabinet/amazon/img62432859.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_gold/coffeebaka/images/lp/index_00.jpg?_ex=128x128'}]",1
22,mrk-09shop:10036294,【3/1限定クーポン配布中】【3ケース】 コカコーラ ジョージア ラテニスタ カフェラテ PET 280ml×24本入×3ケース：合計72本 【北海道・沖縄・離島配送不可】,10281,https://hb.afl.rakuten.co.jp/hgc/g00qg07a.8jil2c4d.g00qg07a.8jil3b86/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fmrk-09shop%2Fd4902102138680-3%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fmrk-09shop%2Fi%2F10036294%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/mrk-09shop/cabinet/cocacola/imgrc0079811367.jpg?_ex=128x128'}],1
23,drugpure:10222405,［豆］株式会社フレッシュ・フィールド　神戸上島義弘ブレンド自家焙煎　酸味が少なくクセのないオリジナル　ABブレンド　熟成コーヒー　150g×2袋セット［豆］＜神戸水道筋からお届けする珈琲＞(商品発送まで6-10日間程度かかります)(キャンセル不可商品),1200,https://hb.afl.rakuten.co.jp/hgc/g00q46ya.8jil2b79.g00q46ya.8jil3a0c/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fdrugpure%2Fkbusyhab%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fdrugpure%2Fi%2F10222405%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/drugpure/cabinet/kihon40/kbusyhab.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/drugpure/cabinet/kihon40/kbusyhab-1.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/drugpure/cabinet/kihon40/kbusyhab-2.jpg?_ex=128x128'}]",1
24,lowprice:11329125,（まとめ）宇治の露製茶 伊右衛門徳用抹茶入り玄米茶 500g 1袋【×5セット】,6199,https://hb.afl.rakuten.co.jp/hgc/g00qqi6a.8jil213e.g00qqi6a.8jil3e97/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Flowprice%2Fds-2296261%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Flowprice%2Fi%2F11329125%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/lowprice/cabinet/dsproducts/662/0002296261-1.jpg?_ex=128x128'}],1
25,ssk-1:17197509,便利 グルメ 取り寄せ 茶語(チャユー) 中国茶 黄金桂8TB×12セット 41004 人気 お得な送料無料 おすすめ,6150,https://hb.afl.rakuten.co.jp/hgc/g00rf7qa.8jil2c3b.g00rf7qa.8jil300e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fssk-1%2Fabtr-1460576-f-%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fssk-1%2Fi%2F17197509%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/ssk-1/cabinet/abtr20211005a/1460576.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/ssk-1/cabinet/abtr20211005a/1460576_1.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/ssk-1/cabinet/abtr20211005a/1460576_2.jpg?_ex=128x128'}]",1
26,at-life:12233261,【送料込・まとめ買い×7個セット】本草 イチョウ葉茶 10g×24包入,3600,https://hb.afl.rakuten.co.jp/hgc/g00ru0oa.8jil2dd1.g00ru0oa.8jil32ad/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fat-life%2F103-4987334712013-7%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fat-life%2Fi%2F12233261%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/at-life/cabinet/yy/4987334712013.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/at-life/cabinet/package_henko.jpg?_ex=128x128'}]",1
27,happyfurniture:10281290,【ポイント20倍】UCC上島珈琲 UCC極味アイスコーヒーNEW（粉）AP150g 40袋入り UCC310488000,67620,https://hb.afl.rakuten.co.jp/hgc/g00t23sa.8jil2c47.g00t23sa.8jil3485/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fhappyfurniture%2Fds-2144961%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fhappyfurniture%2Fi%2F10281290%2F,"[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/happyfurniture/cabinet/dsproducts/862/0002144961-1.jpg?_ex=128x128'}, {'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/happyfurniture/cabinet/dsproducts/862/0002144961-2.jpg?_ex=128x128'}]",20
28,gooddayshop:11173888,【代引不可】静岡茶 静岡の大地 SA-25A,3224,https://hb.afl.rakuten.co.jp/hgc/g00rvnwa.8jil23f3.g00rvnwa.8jil337e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fgooddayshop%2Fab3-1586390%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fgooddayshop%2Fi%2F11173888%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/gooddayshop/cabinet/624035facd5ce7030d/ab3-1586390.jpg?_ex=128x128'}],1
29,l-and-b:14240366,宇治茶 宇治の葉 JH-20B,2698,https://hb.afl.rakuten.co.jp/hgc/g00r4hla.8jil2aa6.g00r4hla.8jil3b16/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fl-and-b%2F1586415%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fl-and-b%2Fi%2F14240366%2F,[{'imageUrl': 'https://thumbnail.image.rakuten.co.jp/@0_mall/l-and-b/cabinet/06055/1586415.jpg?_ex=128x128'}],2
